Frequency (Hz),Measurement
2000000000.0,0.19445715844631195
2000937472.0,0.18639545142650604
2001874944.0,0.17881548404693604
2002812544.0,0.17066346108913422
2003750016.0,0.16109465062618256
2004687488.0,0.1509677618741989
2005624960.0,0.13976091146469116
2006562560.0,0.12805955111980438
2007500032.0,0.11556181311607361
2008437504.0,0.1032768040895462
2009374976.0,0.0901496410369873
2010312448.0,0.07675362378358841
2011250048.0,0.06228337436914444
2012187520.0,0.047979049384593964
2013124992.0,0.033239688724279404
2014062464.0,0.01921273022890091
2015000064.0,0.00592450425028801
2015937536.0,-0.009047530591487885
2016875008.0,-0.022630475461483
2017812480.0,-0.035468459129333496
2018749952.0,-0.047820549458265305
2019687552.0,-0.06000329181551933
2020625024.0,-0.07074617594480515
2021562496.0,-0.07974802702665329
2022499968.0,-0.08797363191843033
2023437440.0,-0.09598132967948914
2024375040.0,-0.10323232412338257
2025312512.0,-0.10694002360105515
2026249984.0,-0.11062601208686829
2027187456.0,-0.11193829029798508
2028125056.0,-0.11219701170921326
2029062528.0,-0.10955735296010971
2030000000.0,-0.10661686211824417
2030937472.0,-0.10286286473274231
2031874944.0,-0.09659244865179062
2032812544.0,-0.08882560580968857
2033750016.0,-0.08076737821102142
2034687488.0,-0.07079411298036575
2035624960.0,-0.06000252440571785
2036562560.0,-0.0478091835975647
2037500032.0,-0.03435128927230835
2038437504.0,-0.021855494007468224
2039374976.0,-0.007257713470607996
2040312448.0,0.007302057929337025
2041250048.0,0.02126954309642315
2042187520.0,0.03526833653450012
2043124992.0,0.048458222299814224
2044062464.0,0.06230605021119118
2044999936.0,0.07526643574237823
2045937536.0,0.08760348707437515
2046875008.0,0.09899815917015076
2047812480.0,0.10902376472949982
2048749952.0,0.10805290192365646
2049687552.0,0.11651817709207535
2050625024.0,0.12414708733558655
2051562496.0,0.13021160662174225
2052499968.0,0.13322953879833221
2053437440.0,0.1353403776884079
2054375040.0,0.13577957451343536
2055312512.0,0.13366323709487915
2056249984.0,0.12960761785507202
2057187456.0,0.12433876842260361
2058125056.0,0.11567087471485138
2059062528.0,0.10631231963634491
2060000000.0,0.09339740127325058
2060937472.0,0.08039768785238266
2061874944.0,0.06613782048225403
2062812544.0,0.05017761513590813
2063750016.0,0.03351958841085434
2064687488.0,0.017288414761424065
2065624960.0,-0.0003670308506116271
2066562560.0,-0.01787489466369152
2067500032.0,-0.035372793674468994
2068437504.0,-0.051665425300598145
2069374976.0,-0.06737101823091507
2070312448.0,-0.0813288614153862
2071250048.0,-0.0945417732000351
2072187520.0,-0.1063162311911583
2073124992.0,-0.11520396918058395
2074062464.0,-0.12374336272478104
2075000064.0,-0.12882615625858307
2075937536.0,-0.13351556658744812
2076875008.0,-0.13405004143714905
2077812480.0,-0.1339162439107895
2078749952.0,-0.1310596913099289
2079687552.0,-0.12670084834098816
2080625024.0,-0.1203722283244133
2081562496.0,-0.11282260715961456
2082499968.0,-0.10393301397562027
2083437440.0,-0.09366906434297562
2084375040.0,-0.08309759944677353
2085312512.0,-0.07088621705770493
2086249984.0,-0.05842475965619087
2087187456.0,-0.04634951800107956
2088125056.0,-0.034430790692567825
2089062528.0,-0.021680638194084167
2090000000.0,-0.010495283640921116
