Frequency (Hz),Measurement
2000000000.0,0.13239023089408875
2000937472.0,0.12553392350673676
2001874944.0,0.12166723608970642
2002812544.0,0.11780153214931488
2003750016.0,0.11441721767187119
2004687488.0,0.10998234152793884
2005624960.0,0.10622680932283401
2006562560.0,0.1011606901884079
2007500032.0,0.0962122306227684
2008437504.0,0.0911092534661293
2009374976.0,0.08577084541320801
2010312448.0,0.0805901512503624
2011250048.0,0.0752285048365593
2012187520.0,0.06946384161710739
2013124992.0,0.06434392929077148
2014062464.0,0.058271586894989014
2015000064.0,0.05307881906628609
2015937536.0,0.046811193227767944
2016875008.0,0.04120183736085892
2017812480.0,0.03608732670545578
2018749952.0,0.03169657662510872
2019687552.0,0.026868466287851334
2020625024.0,0.02267984300851822
2021562496.0,0.018425719812512398
2022499968.0,0.01447291113436222
2023437440.0,0.012224066071212292
2024375040.0,0.009571235626935959
2025312512.0,0.0075186071917414665
2026249984.0,0.00728992884978652
2027187456.0,0.006914719007909298
2028125056.0,0.007919971831142902
2029062528.0,0.008860375732183456
2030000000.0,0.011190582066774368
2030937472.0,0.01347437035292387
2031874944.0,0.0185861699283123
2032812544.0,0.022248800843954086
2033750016.0,0.027735339477658272
2034687488.0,0.03360484540462494
2035624960.0,0.040164146572351456
2036562560.0,0.04666302353143692
2037500032.0,0.05446473881602287
2038437504.0,0.06209998205304146
2039374976.0,0.07027076929807663
2040312448.0,0.0788058191537857
2041250048.0,0.08699983358383179
2042187520.0,0.09473731368780136
2043124992.0,0.10267454385757446
2044062464.0,0.1098640188574791
2044999936.0,0.11578076332807541
2045937536.0,0.12194828689098358
2046875008.0,0.127731055021286
2047812480.0,0.13123582303524017
2048749952.0,0.14098799228668213
2049687552.0,0.1355469524860382
2050625024.0,0.13023172318935394
2051562496.0,0.12428254634141922
2052499968.0,0.11808207631111145
2053437440.0,0.11114193499088287
2054375040.0,0.10361773520708084
2055312512.0,0.09616448730230331
2056249984.0,0.08855579793453217
2057187456.0,0.08103587478399277
2058125056.0,0.07412990927696228
2059062528.0,0.0672546997666359
2060000000.0,0.06003700941801071
2060937472.0,0.05314329266548157
2061874944.0,0.046509552747011185
2062812544.0,0.039425648748874664
2063750016.0,0.03395082429051399
2064687488.0,0.028249798342585564
2065624960.0,0.02282424084842205
2066562560.0,0.01690167747437954
2067500032.0,0.013073625043034554
2068437504.0,0.009169397875666618
2069374976.0,0.005015930626541376
2070312448.0,0.0021900737192481756
2071250048.0,-0.0011694409186020494
2072187520.0,-0.003879106603562832
2073124992.0,-0.007183362729847431
2074062464.0,-0.009179452434182167
2075000064.0,-0.010692804120481014
2075937536.0,-0.01252324040979147
2076875008.0,-0.012856810353696346
2077812480.0,-0.013729268684983253
2078749952.0,-0.014398304745554924
2079687552.0,-0.013746251352131367
2080625024.0,-0.014533348381519318
2081562496.0,-0.01312366221100092
2082499968.0,-0.012015189975500107
2083437440.0,-0.009677971713244915
2084375040.0,-0.007823343388736248
2085312512.0,-0.00473702372983098
2086249984.0,-0.0008853647741489112
2087187456.0,0.0033082056324929
2088125056.0,0.007286970969289541
2089062528.0,0.012567534111440182
2090000000.0,0.01791231893002987
2090937472.0,0.02469012886285782
2091874944.0,0.03180776536464691
2092812544.0,0.0388522632420063
2093750016.0,0.04677063226699829
2094687488.0,0.055727407336235046
2095624960.0,0.06521113961935043
2096562560.0,0.07553509622812271
2097500032.0,0.08556138724088669
2098437504.0,0.09707563370466232
2099374976.0,0.10993720591068268
2100312448.0,0.12107007205486298
2101250048.0,0.13353243470191956
2102187520.0,0.14696276187896729
2103124992.0,0.16057811677455902
2104062464.0,0.17456454038619995
2104999936.0,0.18765932321548462
2105937536.0,0.20074711740016937
2106875008.0,0.21446768939495087
2107812480.0,0.2278522104024887
2108749952.0,0.2673545181751251
2109687552.0,0.27562740445137024
2110625024.0,0.2838464379310608
2111562496.0,0.2908482849597931
2112499968.0,0.2975446581840515
2113437440.0,0.30289432406425476
2114375040.0,0.30648258328437805
2115312512.0,0.3073617219924927
2116249984.0,0.306283175945282
2117187456.0,0.30305787920951843
2118125056.0,0.29646289348602295
2119062528.0,0.28742140531539917
2120000000.0,0.2753898799419403
2120937472.0,0.25926628708839417
2121874944.0,0.24150416254997253
2122812544.0,0.22067996859550476
2123750016.0,0.19786947965621948
2124687488.0,0.17306838929653168
2125624960.0,0.1470472663640976
2126562560.0,0.11999882757663727
2127500032.0,0.09268393367528915
2128437504.0,0.06564212590456009
2129374976.0,0.039127085357904434
2130312448.0,0.012933038175106049
2131250048.0,-0.010951639153063297
2132187520.0,-0.03399074077606201
2133124992.0,-0.054856061935424805
2134062464.0,-0.07317628711462021
2135000064.0,-0.08867761492729187
2135937536.0,-0.10160104930400848
2136875008.0,-0.11176043003797531
2137812480.0,-0.11864268779754639
2138749952.0,-0.12334488332271576
2139687552.0,-0.12457355856895447
2140625024.0,-0.12370049208402634
2141562496.0,-0.11945963650941849
2142499968.0,-0.11412622779607773
2143437440.0,-0.10562752187252045
2144375040.0,-0.09587268531322479
2145312512.0,-0.08541817218065262
2146249984.0,-0.07227666676044464
2147187456.0,-0.05962147191166878
2148124928.0,-0.045185524970293045
2149062400.0,-0.030857790261507034
2150000128.0,-0.016723012551665306
2150937600.0,-0.002012302866205573
2151875072.0,0.011850033886730671
2152812544.0,0.025946928188204765
2153750016.0,0.03942527994513512
2154687488.0,0.05236072465777397
2155624960.0,0.0643729493021965
2156562432.0,0.07518190145492554
2157499904.0,0.08593359589576721
2158437376.0,0.09624682366847992
2159375104.0,0.10667841136455536
2160312576.0,0.11609015613794327
2161250048.0,0.1253175586462021
2162187520.0,0.1347159743309021
2163124992.0,0.1433909833431244
2164062464.0,0.15203234553337097
2164999936.0,0.16173920035362244
2165937408.0,0.169624462723732
2166874880.0,0.1786002665758133
2167812608.0,0.18749330937862396
2168750080.0,0.2135806530714035
2169687552.0,0.22468040883541107
2170625024.0,0.23720616102218628
2171562496.0,0.2481456696987152
2172499968.0,0.2596494257450104
2173437440.0,0.26931753754615784
2174374912.0,0.27926918864250183
2175312384.0,0.2878810465335846
2176250112.0,0.2955418825149536
2177187584.0,0.3008691370487213
2178125056.0,0.3050331771373749
2179062528.0,0.30680006742477417
2180000000.0,0.30828529596328735
2180937472.0,0.30648303031921387
2181874944.0,0.30336105823516846
2182812416.0,0.2963807284832001
2183749888.0,0.2890342175960541
2184687616.0,0.2796023190021515
2185625088.0,0.2667873501777649
2186562560.0,0.25248703360557556
2187500032.0,0.2381536364555359
2188437504.0,0.22072471678256989
2189374976.0,0.20210842788219452
2190312448.0,0.18308024108409882
2191249920.0,0.16281794011592865
2192187392.0,0.14124302566051483
2193125120.0,0.12056292593479156
2194062592.0,0.09900295734405518
2195000064.0,0.07830595970153809
2195937536.0,0.05789528787136078
