Frequency (Hz),Measurement
2000000000.0,0.18826241791248322
2000937472.0,0.1809644103050232
2001874944.0,0.172703817486763
2002812544.0,0.1635158658027649
2003750016.0,0.15330778062343597
2004687488.0,0.14283257722854614
2005624960.0,0.13132663071155548
2006562560.0,0.12088578194379807
2007500032.0,0.1079585924744606
2008437504.0,0.09526730328798294
2009374976.0,0.08211524784564972
2010312448.0,0.06867173314094543
2011250048.0,0.054014597088098526
2012187520.0,0.03946305066347122
2013124992.0,0.024939492344856262
2014062464.0,0.01052677258849144
2015000064.0,-0.0044092461466789246
2015937536.0,-0.01797885075211525
2016875008.0,-0.03158287703990936
2017812480.0,-0.04438632354140282
2018749952.0,-0.05729714035987854
2019687552.0,-0.06886503100395203
2020625024.0,-0.07940612733364105
2021562496.0,-0.08910007774829865
2022499968.0,-0.09791014343500137
2023437440.0,-0.10433541983366013
2024375040.0,-0.11038000881671906
2025312512.0,-0.11500238627195358
2026249984.0,-0.11692442744970322
2027187456.0,-0.11886405944824219
2028125056.0,-0.11850462853908539
2029062528.0,-0.11662043631076813
2030000000.0,-0.11313161253929138
2030937472.0,-0.10785873234272003
2031874944.0,-0.10122475773096085
2032812544.0,-0.09401235729455948
2033750016.0,-0.08553245663642883
2034687488.0,-0.07551080733537674
2035624960.0,-0.06468900293111801
2036562560.0,-0.052996933460235596
2037500032.0,-0.03895042464137077
2038437504.0,-0.02562902681529522
2039374976.0,-0.010927827097475529
2040312448.0,0.0023202993907034397
2041250048.0,0.01617927849292755
2042187520.0,0.030242733657360077
2043124992.0,0.0448710136115551
2044062464.0,0.058148257434368134
2044999936.0,0.07123374938964844
2045937536.0,0.08346384763717651
2046875008.0,0.09516949206590652
2047812480.0,0.1052234023809433
2048749952.0,0.10275567322969437
2049687552.0,0.11189570277929306
2050625024.0,0.11839901655912399
2051562496.0,0.1243847906589508
2052499968.0,0.1282542496919632
2053437440.0,0.12968967854976654
2054375040.0,0.12983660399913788
2055312512.0,0.1281646490097046
2056249984.0,0.12467068433761597
2057187456.0,0.1181941106915474
2058125056.0,0.10968660563230515
2059062528.0,0.09975193440914154
2060000000.0,0.08809129148721695
2060937472.0,0.07415037602186203
2061874944.0,0.05894652381539345
2062812544.0,0.04415696859359741
2063750016.0,0.02797185629606247
2064687488.0,0.009716546162962914
2065624960.0,-0.008574009872972965
2066562560.0,-0.02484339475631714
2067500032.0,-0.042577534914016724
2068437504.0,-0.058058273047208786
2069374976.0,-0.07411444187164307
2070312448.0,-0.08795316517353058
2071250048.0,-0.10063556581735611
2072187520.0,-0.11248109489679337
2073124992.0,-0.12163574248552322
