Date,Temperature_Celsius(℃),Relative_Humidity(%),DPT(℃),VPD(kPa),Abs Humidity(g/m³)
"Jul 10, 2025 11:53",19.5,24,-1.6,1.72,4.03
"Jul 10, 2025 11:54",19.5,24,-1.6,1.72,4.03
"Jul 10, 2025 11:55",19.5,24,-1.6,1.72,4.03
"Jul 10, 2025 11:56",19.5,24,-1.6,1.72,4.03
"Jul 10, 2025 11:57",19.6,21,-3.3,1.80,3.55
"Jul 10, 2025 11:58",19.6,21,-3.3,1.80,3.55
"Jul 10, 2025 11:59",19.6,21,-3.3,1.80,3.55
"Jul 10, 2025 12:00",19.6,21,-3.3,1.80,3.55
"Jul 10, 2025 12:01",19.6,21,-3.3,1.80,3.55
"Jul 10, 2025 12:02",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:03",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:04",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:05",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:06",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:07",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:08",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:09",19.9,24,-1.3,1.77,4.12
"Jul 10, 2025 12:10",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:11",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:12",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:13",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:14",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:15",20.2,26,0.1,1.75,4.55
"Jul 10, 2025 12:16",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:17",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:18",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:19",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:20",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:21",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:22",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:23",20.5,27,0.8,1.76,4.80
"Jul 10, 2025 12:24",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:25",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:26",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:27",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:28",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:29",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:30",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:31",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:32",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:33",20.8,28,1.6,1.77,5.07
"Jul 10, 2025 12:34",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:35",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:36",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:37",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:38",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:39",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:40",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:41",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:42",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:43",21.1,29,2.4,1.78,5.34
"Jul 10, 2025 12:44",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:45",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:46",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:47",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:48",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:49",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:50",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:51",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:52",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:53",21.3,30,3.0,1.77,5.59
"Jul 10, 2025 12:54",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 12:55",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 12:56",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 12:57",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 12:58",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 12:59",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:00",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:01",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:02",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:03",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:04",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:05",21.5,31,3.6,1.77,5.85
"Jul 10, 2025 13:06",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:07",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:08",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:09",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:10",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:11",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:12",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:13",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:14",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:15",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:16",21.7,32,4.3,1.77,6.10
"Jul 10, 2025 13:17",21.7,32,4.3,1.77,6.10
