CV,Sensor,Model,Accuracy,Precision,Recall,F1,ROC-AUC
KFold,Sensor A — GO/Nafion (S11),PCA + SVR,0.9995,1.0000,0.9987,0.9994,1.0000
KFold,Sensor A — GO/Nafion (S11),PCA + GP,1.0000,1.0000,1.0000,1.0000,1.0000
KFold,Sensor A — GO/Nafion (S11),PCA + GB,0.9997,1.0000,0.9994,0.9997,0.9997
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + SVR,0.9957,1.0000,0.9899,0.9949,1.0000
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GB,1.0000,1.0000,1.0000,1.0000,1.0000
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GP,1.0000,1.0000,1.0000,1.0000,1.0000
LOGO,Sensor A — GO/Nafion (S11),PCA + SVR,0.8150,0.8743,0.6641,0.7549,0.8906
LOGO,Sensor A — GO/Nafion (S11),PCA + GB,0.6805,0.6283,0.6243,0.6263,0.8244
LOGO,Sensor A — GO/Nafion (S11),PCA + GP,0.6523,0.6895,0.3441,0.4591,0.7692
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GB,0.7830,0.7365,0.7691,0.7525,0.8789
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + SVR,0.7453,0.8023,0.5389,0.6447,0.8751
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GP,0.7426,0.7496,0.6003,0.6667,0.8545
