CV,Sensor,Model,R²,R² 95% CI,MAE (d),MAE 95% CI,RMSE (d),Pearson r,Pearson p,Spearman ρ,Spearman p
KFold,Sensor A — GO/Nafion (S11),PCA + GB,0.9987,"[0.9974, 0.9996]",0.0106,"[0.0092, 0.0121]",0.0481,0.9993,0.00e+00,0.9951,0.00e+00
KFold,Sensor A — GO/Nafion (S11),PCA + GP,0.9993,"[0.9992, 0.9994]",0.0239,"[0.0231, 0.0248]",0.0351,0.9998,0.00e+00,0.9942,0.00e+00
KFold,Sensor A — GO/Nafion (S11),PCA + SVR,0.9942,"[0.9937, 0.9947]",0.0697,"[0.0673, 0.0720]",0.1004,0.9972,0.00e+00,0.9855,0.00e+00
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GB,0.9981,"[0.9972, 0.9988]",0.0111,"[0.0094, 0.0129]",0.0576,0.9991,0.00e+00,0.9964,0.00e+00
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GP,0.9985,"[0.9981, 0.9988]",0.0311,"[0.0298, 0.0323]",0.0516,0.9993,0.00e+00,0.9945,0.00e+00
KFold,Sensor B — G/GO/PEDOT:PSS (S22),PCA + SVR,0.9928,"[0.9920, 0.9935]",0.0703,"[0.0674, 0.0731]",0.1125,0.9964,0.00e+00,0.9865,0.00e+00
LOGO,Sensor A — GO/Nafion (S11),PCA + SVR,0.3934,"[0.3780, 0.4078]",0.8724,"[0.8552, 0.8900]",1.0302,0.6287,0.00e+00,0.7420,0.00e+00
LOGO,Sensor A — GO/Nafion (S11),PCA + GP,0.2852,"[0.2645, 0.3047]",0.9304,"[0.9123, 0.9504]",1.1182,0.5353,1.55e-272,0.6006,0.00e+00
LOGO,Sensor A — GO/Nafion (S11),PCA + GB,0.2151,"[0.1914, 0.2398]",1.0206,"[1.0030, 1.0390]",1.1718,0.4860,7.00e-218,0.5867,0.00e+00
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GB,0.5103,"[0.4909, 0.5282]",0.7987,"[0.7834, 0.8139]",0.9255,0.7202,0.00e+00,0.7913,0.00e+00
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + SVR,0.4161,"[0.3940, 0.4362]",0.8044,"[0.7856, 0.8246]",1.0106,0.6578,0.00e+00,0.7400,0.00e+00
LOGO,Sensor B — G/GO/PEDOT:PSS (S22),PCA + GP,0.4046,"[0.3908, 0.4184]",0.8741,"[0.8590, 0.8905]",1.0206,0.6406,0.00e+00,0.7334,0.00e+00
